"id","user_id","total","status_ticket","type_payment","created_at","updated_at","deleted_at","discount"
"4fe70e698f6f4c30a19784b5cda1c4a5","9d1ea2cd01a64dcd8845eee558197590","121","ACCEPTED",NULL,"2024-06-14 18:31:58","2024-06-14 11:04:58",NULL,"0"
"4ff22ef76f92434c9e8f30e2279eb1d8","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-10-08 19:25:01","2024-10-08 17:00:38",NULL,"0"
"510f27be749f41d0a1822d523c9e2447","9d1ea2cd01a64dcd8845eee558197590","24","ACCEPTED",NULL,"2024-06-24 18:21:16","2024-06-24 16:51:42",NULL,"0"
"51e57d77725e459cb342091c67416246","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-10-28 17:36:36","2024-10-28 09:53:08",NULL,"0"
"54b489386c2e4f909833af8a904615fb","9d1ea2cd01a64dcd8845eee558197590","100","ACCEPTED",NULL,"2024-10-02 18:32:32","2024-10-02 14:56:00",NULL,"0"
"5577d0cbb96a4a97b7fb3fa1c3eca42d","9d1ea2cd01a64dcd8845eee558197590","55","ACCEPTED",NULL,"2024-12-02 18:39:26","2024-11-26 12:56:41",NULL,"0"
"572fd8493cf24191a4d073d5f18c1ae9","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-09-02 17:48:39","2024-09-02 01:00:12",NULL,"0"
"5782c0b3452240e3ac0ed9949b1d0735","9d1ea2cd01a64dcd8845eee558197590","110","ACCEPTED",NULL,"2024-06-10 16:41:51","2024-06-10 09:09:11",NULL,"0"
"5841d301194948e08d456cac920b8949","9d1ea2cd01a64dcd8845eee558197590","110","ACCEPTED",NULL,"2024-11-14 19:44:47","2024-11-07 12:19:41",NULL,"0"
"58736e3062ec47d1b2dfb36ddd385323","9d1ea2cd01a64dcd8845eee558197590","25","ACCEPTED",NULL,"2024-07-25 18:38:00","2024-07-25 14:57:52",NULL,"0"
"59bcb09a1ec44ea2b605c1a3ee1121e7","9d1ea2cd01a64dcd8845eee558197590","72","ACCEPTED",NULL,"2024-11-02 19:42:07","2024-11-02 19:28:19",NULL,"0"
"5a05ba36f64d4ef6bc8b1ea365209064","9d1ea2cd01a64dcd8845eee558197590","350","ACCEPTED",NULL,"2024-11-26 19:29:55","2024-11-26 12:56:41",NULL,"0"
"5d94e907c8a54e8da8a8bbbe7d1a1312","9d1ea2cd01a64dcd8845eee558197590","45","ACCEPTED",NULL,"2024-10-12 18:43:56","2024-10-12 17:49:19",NULL,"0"
"5e815f521f1f4960b484fba0d05bcae6","9d1ea2cd01a64dcd8845eee558197590","119","ACCEPTED",NULL,"2024-10-07 18:07:30","2024-10-07 17:32:29",NULL,"0"
"5f4b22354e944d619d683cb6e3bf6db9","9d1ea2cd01a64dcd8845eee558197590","72","ACCEPTED",NULL,"2024-11-28 16:31:45","2024-11-26 12:56:41",NULL,"0"
"5f78025d35404797a45bf9afc600a2c6","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-08-06 18:36:08","2024-08-06 01:00:12",NULL,"0"
"60e665ef140f4f0f82a29178c2eacb77","9d1ea2cd01a64dcd8845eee558197590","233","ACCEPTED",NULL,"2024-11-08 19:10:03","2024-11-07 12:19:41",NULL,"0"
"61a42929a4ea42baa86408663f1ca201","9d1ea2cd01a64dcd8845eee558197590","62","ACCEPTED",NULL,"2024-12-16 19:25:30","2024-11-26 12:56:41",NULL,"0"
"62dba49c19ca492c86b920799c9a4813","9d1ea2cd01a64dcd8845eee558197590","198","ACCEPTED",NULL,"2024-08-22 19:01:16","2024-08-22 01:00:13",NULL,"0"
"63b8b65f6a314824900ac4aeed26ab78","9d1ea2cd01a64dcd8845eee558197590","18","ACCEPTED",NULL,"2024-07-09 17:39:38","2024-07-04 16:38:30",NULL,"0"
"641e391b17e2459e8bd263d2c14a7ebc","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-09-06 19:18:02","2024-09-06 01:00:12",NULL,"0"
"64965685b3f24022adb538c721ed1eb4","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-10-08 20:29:17","2024-10-08 17:00:38",NULL,"0"
"676e7bc0b01447c28ac28fcd4e59e840","9d1ea2cd01a64dcd8845eee558197590","158","ACCEPTED",NULL,"2024-11-19 17:29:24","2024-11-07 12:19:41",NULL,"0"
"67aa4fd356ac4b48bd91a2ecbb14cb0e","9d1ea2cd01a64dcd8845eee558197590","70","ACCEPTED",NULL,"2024-07-09 17:38:45","2024-07-04 16:38:30",NULL,"0"
"6a6c9b5276b24c0a99049076b95a41e6","9d1ea2cd01a64dcd8845eee558197590","45","ACCEPTED",NULL,"2024-09-11 17:31:47","2024-09-11 01:00:12",NULL,"0"
"6b608d740a764d508fefd1650bca05bf","9d1ea2cd01a64dcd8845eee558197590","79","ACCEPTED",NULL,"2024-07-29 18:48:33","2024-07-29 01:00:12",NULL,"0"
"6c7008ea2a624f97a4d65ae6ef7d4e69","9d1ea2cd01a64dcd8845eee558197590","40","ACCEPTED",NULL,"2024-06-25 19:39:18","2024-06-25 17:16:32",NULL,"0"
"6d3c30f421c0431faa97f5e3a8690ff9","9d1ea2cd01a64dcd8845eee558197590","100","ACCEPTED",NULL,"2024-06-20 18:15:37","2024-06-20 13:53:59",NULL,"0"
"6dc8a213ccae44b7803e97207d97158b","9d1ea2cd01a64dcd8845eee558197590","194","ACCEPTED",NULL,"2024-11-29 17:52:09","2024-11-26 12:56:41",NULL,"0"
"6dfbc008c5264fc0a76f76df7a7bfba2","9d1ea2cd01a64dcd8845eee558197590","212","ACCEPTED",NULL,"2024-08-02 20:05:09","2024-08-02 01:00:12",NULL,"0"
"6e7c751689d44a269fa4d285d0875fca","9d1ea2cd01a64dcd8845eee558197590","103","ACCEPTED",NULL,"2024-06-11 20:03:56","2024-06-11 14:10:49",NULL,"0"
"6fd771a31dec45ec86d9bebb94cc582d","9d1ea2cd01a64dcd8845eee558197590","65","ACCEPTED",NULL,"2024-12-08 19:15:35","2024-11-26 12:56:41",NULL,"0"
"729a40281814444382041a614babc477","9d1ea2cd01a64dcd8845eee558197590","145","ACCEPTED",NULL,"2024-10-09 17:42:29","2024-10-09 16:37:32",NULL,"0"
"732d369e1c8d4f6fb94add5ab9d53c7b","9d1ea2cd01a64dcd8845eee558197590","72","ACCEPTED",NULL,"2024-08-29 19:46:05","2024-08-29 01:00:13",NULL,"0"
